"Package","Version"
"SparseArray","1.10.10"
"SparseM","1.84-2"
"sparseMatrixStats","1.22.0"
"sparsevctrs","0.3.6"
"spatial","7.3-18"
"SpatialExperiment","1.20.0"
"spatstat.data","3.1-9"
"spatstat.explore","3.8-2"
"spatstat.geom","3.8-2"
"spatstat.random","3.5-1"
"spatstat.sparse","3.2-0"
"spatstat.univar","3.2-0"
"spatstat.utils","3.2-4"
"spData","2.3.5"
"spdep","1.4-2"
"spelling","2.3.2"
"splines","4.5.2"
"SQUAREM","2026.1"
"statmod","1.5.2"
"statnet.common","4.13.0"
"stats","4.5.2"
"stats4","4.5.2"
"stringi","1.8.9"
"stringr","1.6.0"
"SummarizedExperiment","1.40.0"
"survey","4.5"
"survival","3.8-3"
"survminer","0.5.2"
"sva","3.58.0"
"svglite","2.2.2"
"synapser","2.1.5.356"
"synchronicity","1.3.10"
"sys","3.4.3"
"sysfonts","0.8.9"
"systemfonts","1.3.2"
"table1","1.5.1"
"tableone","0.13.2"
"tcltk","4.5.2"
"tensor","1.5.1"
"tesseract","5.2.5"
"tester","0.3.0"
"testthat","3.3.2"
"textshaping","1.0.5"
"TH.data","1.1-5"
"tibble","3.3.1"
"tidygraph","1.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"tiff","0.1-12"
"timechange","0.4.0"
"timeDate","4052.112"
"tinytest","1.4.3"
"tinytex","0.60"
"tools","4.5.2"
"translations","4.5.2"
"truncnorm","1.0-9"
"tweenr","2.0.3"
"TwoSampleMR","0.7.9"
"TxDb.Hsapiens.UCSC.hg38.knownGene","3.22.0"
"tzdb","0.5.0"
"ucminf","1.2.3"
"UCSC.utils","1.6.1"
"units","1.0-1"
"UpSetR","1.4.1"
"urca","1.3-4"
"urlchecker","2.0.0"
"usethis","3.2.1"
"utf8","1.2.6"
"utils","4.5.2"
"uuid","1.2-2"
"uwot","0.2.4"
"V8","8.2.0"
"vcd","1.4-14"
"vctrs","0.7.1"
"vdiffr","1.0.9"
"VennDiagram","1.8.2"
"VIM","7.0.0"
"vioplot","0.5.1"
"viridis","0.6.5"
"viridisLite","0.4.3"
"visNetwork","2.1.4"
"vroom","1.7.1"
"waldo","0.6.2"
"webp","1.3.0"
"webshot2","0.1.2"
"websocket","1.4.4"
"whisker","0.4.1"
"withr","3.0.3"
"wk","0.9.5"
"wordcloud","2.6"
"writexl","2.0.1"
"xfun","0.60"
"xgboost","3.2.1.1"
"XML","3.99-0.24"
"xml2","1.6.0"
"xopen","1.0.1"
"xtable","1.8-8"
"XVector","0.50.0"
"yaml","2.3.12"
"yulab.utils","0.2.5"
"zip","3.0.2"
"zoo","1.9-0"
