"state","gene"
"Myeloid_Treg_Immunosuppressive","SLC7A7"
"Myeloid_Treg_Immunosuppressive","SNX20"
"Myeloid_Treg_Immunosuppressive","SPP1"
"Myeloid_Treg_Immunosuppressive","SRGN"
"Myeloid_Treg_Immunosuppressive","ST8SIA4"
"Myeloid_Treg_Immunosuppressive","STK17B"
"Myeloid_Treg_Immunosuppressive","TAGAP"
"Myeloid_Treg_Immunosuppressive","TIGIT"
"Myeloid_Treg_Immunosuppressive","TMEM176A"
"Myeloid_Treg_Immunosuppressive","TMEM176B"
"Myeloid_Treg_Immunosuppressive","TMSB4X"
"Myeloid_Treg_Immunosuppressive","TNFAIP8"
"Myeloid_Treg_Immunosuppressive","TNFAIP8L2"
"Myeloid_Treg_Immunosuppressive","TNFRSF18"
"Myeloid_Treg_Immunosuppressive","TRAF3IP3"
"Myeloid_Treg_Immunosuppressive","TREM1"
"Myeloid_Treg_Immunosuppressive","TYMP"
"Myeloid_Treg_Immunosuppressive","TYROBP"
"Myeloid_Treg_Immunosuppressive","WAS"
"Myeloid_Treg_Immunosuppressive","ZAP70"
"Tumor_dedifferentiation_Stromal_remodeling","ADAM12"
"Tumor_dedifferentiation_Stromal_remodeling","ADAM19"
"Tumor_dedifferentiation_Stromal_remodeling","ADAMTS12"
"Tumor_dedifferentiation_Stromal_remodeling","ADAMTS9"
"Tumor_dedifferentiation_Stromal_remodeling","ANO1"
"Tumor_dedifferentiation_Stromal_remodeling","ANPEP"
"Tumor_dedifferentiation_Stromal_remodeling","AXL"
"Tumor_dedifferentiation_Stromal_remodeling","B4GALT1"
"Tumor_dedifferentiation_Stromal_remodeling","BGN"
"Tumor_dedifferentiation_Stromal_remodeling","BICC1"
"Tumor_dedifferentiation_Stromal_remodeling","C1R"
"Tumor_dedifferentiation_Stromal_remodeling","CALHM2"
"Tumor_dedifferentiation_Stromal_remodeling","CCM2"
"Tumor_dedifferentiation_Stromal_remodeling","CD248"
"Tumor_dedifferentiation_Stromal_remodeling","CDH11"
"Tumor_dedifferentiation_Stromal_remodeling","CLMP"
"Tumor_dedifferentiation_Stromal_remodeling","COL12A1"
"Tumor_dedifferentiation_Stromal_remodeling","COL15A1"
"Tumor_dedifferentiation_Stromal_remodeling","COL1A1"
"Tumor_dedifferentiation_Stromal_remodeling","COL1A2"
"Tumor_dedifferentiation_Stromal_remodeling","COL3A1"
"Tumor_dedifferentiation_Stromal_remodeling","COL5A1"
"Tumor_dedifferentiation_Stromal_remodeling","COL5A2"
"Tumor_dedifferentiation_Stromal_remodeling","COL6A1"
"Tumor_dedifferentiation_Stromal_remodeling","COL6A2"
"Tumor_dedifferentiation_Stromal_remodeling","COL6A3"
"Tumor_dedifferentiation_Stromal_remodeling","COL8A1"
"Tumor_dedifferentiation_Stromal_remodeling","COLEC12"
"Tumor_dedifferentiation_Stromal_remodeling","CSRNP1"
"Tumor_dedifferentiation_Stromal_remodeling","DCN"
"Tumor_dedifferentiation_Stromal_remodeling","ECE1"
"Tumor_dedifferentiation_Stromal_remodeling","EFEMP1"
"Tumor_dedifferentiation_Stromal_remodeling","EGFR"
"Tumor_dedifferentiation_Stromal_remodeling","EMILIN1"
"Tumor_dedifferentiation_Stromal_remodeling","ENG"
"Tumor_dedifferentiation_Stromal_remodeling","EPHB6"
"Tumor_dedifferentiation_Stromal_remodeling","FAM20C"
"Tumor_dedifferentiation_Stromal_remodeling","FAM89B"
"Tumor_dedifferentiation_Stromal_remodeling","FBN1"
"Tumor_dedifferentiation_Stromal_remodeling","FN1"
"Tumor_dedifferentiation_Stromal_remodeling","FNDC1"
"Tumor_dedifferentiation_Stromal_remodeling","FOSL2"
"Tumor_dedifferentiation_Stromal_remodeling","FST"
"Tumor_dedifferentiation_Stromal_remodeling","GALNT10"
"Tumor_dedifferentiation_Stromal_remodeling","GFPT2"
"Tumor_dedifferentiation_Stromal_remodeling","GLIS2"
"Tumor_dedifferentiation_Stromal_remodeling","GNAI2"
"Tumor_dedifferentiation_Stromal_remodeling","GPC6"
"Tumor_dedifferentiation_Stromal_remodeling","HK1"
"Tumor_dedifferentiation_Stromal_remodeling","IER3"
"Tumor_dedifferentiation_Stromal_remodeling","IFITM3"
"Tumor_dedifferentiation_Stromal_remodeling","IFNGR2"
"Tumor_dedifferentiation_Stromal_remodeling","IGFBP6"
"Tumor_dedifferentiation_Stromal_remodeling","INHBA"
"Tumor_dedifferentiation_Stromal_remodeling","ITGA5"
"Tumor_dedifferentiation_Stromal_remodeling","JUNB"
"Tumor_dedifferentiation_Stromal_remodeling","KDELC2"
"Tumor_dedifferentiation_Stromal_remodeling","LMO7"
"Tumor_dedifferentiation_Stromal_remodeling","LOXL2"
"Tumor_dedifferentiation_Stromal_remodeling","LPAR1"
"Tumor_dedifferentiation_Stromal_remodeling","LTBP2"
"Tumor_dedifferentiation_Stromal_remodeling","LUM"
"Tumor_dedifferentiation_Stromal_remodeling","MAP1A"
"Tumor_dedifferentiation_Stromal_remodeling","MMP19"
"Tumor_dedifferentiation_Stromal_remodeling","MMP2"
"Tumor_dedifferentiation_Stromal_remodeling","MMP9"
"Tumor_dedifferentiation_Stromal_remodeling","MRC2"
"Tumor_dedifferentiation_Stromal_remodeling","MT2A"
"Tumor_dedifferentiation_Stromal_remodeling","MYOF"
"Tumor_dedifferentiation_Stromal_remodeling","NGEF"
"Tumor_dedifferentiation_Stromal_remodeling","NGFR"
"Tumor_dedifferentiation_Stromal_remodeling","NHS"
"Tumor_dedifferentiation_Stromal_remodeling","NID2"
"Tumor_dedifferentiation_Stromal_remodeling","NPDC1"
"Tumor_dedifferentiation_Stromal_remodeling","NRP1"
"Tumor_dedifferentiation_Stromal_remodeling","OLFML2B"
"Tumor_dedifferentiation_Stromal_remodeling","OSMR"
"Tumor_dedifferentiation_Stromal_remodeling","PLAU"
"Tumor_dedifferentiation_Stromal_remodeling","PLAUR"
"Tumor_dedifferentiation_Stromal_remodeling","PMEPA1"
"Tumor_dedifferentiation_Stromal_remodeling","PODXL"
"Tumor_dedifferentiation_Stromal_remodeling","PRRX2"
"Tumor_dedifferentiation_Stromal_remodeling","PXDN"
"Tumor_dedifferentiation_Stromal_remodeling","RAB31"
"Tumor_dedifferentiation_Stromal_remodeling","RASA4B"
"Tumor_dedifferentiation_Stromal_remodeling","RUNX1"
"Tumor_dedifferentiation_Stromal_remodeling","SERPINE1"
"Tumor_dedifferentiation_Stromal_remodeling","SH2B3"
"Tumor_dedifferentiation_Stromal_remodeling","SLC20A1"
