"gene","spearman_rho","p_value","fdr"
"DSE",0.827003484320558,2.6729575893147e-11,4.37690981835267e-09
"GNGT2",0.826829268292683,2.72140969134446e-11,4.37690981835267e-09
"PIM1",0.826829268292683,2.72140969134446e-11,4.37690981835267e-09
"PTGER2",0.826799106470357,2.72988138358795e-11,4.37690981835267e-09
"KLRB1",0.826603946948985,2.785297687723e-11,4.40961021491562e-09
"FMNL1",0.826480836236934,2.8207965551995e-11,4.40961021491562e-09
"VOPP1",0.826480836236934,2.8207965551995e-11,4.40961021491562e-09
"TNFRSF1B",0.826306620209059,2.87175758957717e-11,4.45217360519654e-09
"CD40LG",0.825998781621924,2.9639233954775e-11,4.55739663735758e-09
"LRMP",0.825783972125436,3.02987281145767e-11,4.62092553415727e-09
"CD69",0.825087108013937,3.25342312613141e-11,4.88247715384793e-09
"GIMAP2",0.825087108013937,3.25342312613141e-11,4.88247715384793e-09
"CD6",0.82404181184669,3.61793887484882e-11,5.34400908293614e-09
"GIMAP5",0.82404181184669,3.61793887484882e-11,5.34400908293614e-09
"SOD2",0.823867595818815,3.68229549571691e-11,5.3965766565745e-09
"ARHGAP9",0.823693379790941,3.74772487532832e-11,5.43541254759374e-09
"SAMD3",0.823643271788401,3.76674466222712e-11,5.43541254759374e-09
"ADAMDEC1",0.823170731707317,3.95061744675085e-11,5.65722386897704e-09
"SECTM1",0.822822299651568,4.09155498796981e-11,5.80084236736301e-09
"UBASH3A",0.822770860738948,4.11275672935274e-11,5.80084236736301e-09
"VAV1",0.822648083623694,4.16377944955461e-11,5.82898049956679e-09
"MAN1A1",0.822473867595819,4.23719849330377e-11,5.88782270636188e-09
"CORO1A",0.821602787456446,4.62286622812171e-11,6.3299523776157e-09
"FPR1",0.821602787456446,4.62286622812171e-11,6.3299523776157e-09
"GIMAP8",0.821428571428572,4.70384879285264e-11,6.39416663080599e-09
"TNFSF10",0.821080139372823,4.8698216298087e-11,6.57215711896269e-09
"CYTH4",0.820731707317073,5.04127504245663e-11,6.727846082966e-09
"P2RY10",0.820700482924211,5.05691293618107e-11,6.727846082966e-09
"HAVCR2",0.82020905923345,5.30910103545666e-11,7.01362157212194e-09
"CD84",0.819860627177701,5.49500337249872e-11,7.20844533319605e-09
"CRIP1",0.819163763066202,5.88526794463122e-11,7.66678759537063e-09
"TESPA1",0.817611470281681,6.84997344689391e-11,8.75472997450764e-09
"C1S",0.817595818815331,6.86041530066967e-11,8.75472997450764e-09
"LY86",0.817595818815331,6.86041530066967e-11,8.75472997450764e-09
"SIRPG",0.81617007686136,7.87676654718106e-11,9.98380159855199e-09
"CD3E",0.81602787456446,7.98553072254284e-11,1.00537295855155e-08
"BIRC3",0.815679442508711,8.25801184656971e-11,1.03274696153201e-08
"RASGRP2",0.815331010452962,8.53919061406316e-11,1.0608389187365e-08
"MYO1F",0.815156794425087,8.6831220542532e-11,1.06461886676951e-08
"SELPLG",0.815156794425087,8.6831220542532e-11,1.06461886676951e-08
"AOAH",0.814982578397213,8.82932531286952e-11,1.07270817814286e-08
"CMKLR1",0.814808362369338,8.97783378476617e-11,1.07270817814286e-08
"CYSLTR1",0.814808362369338,8.97783378476617e-11,1.07270817814286e-08
"IRF8",0.814808362369338,8.97783378476617e-11,1.07270817814286e-08
"CLECL1",0.814601859378065,9.15689711777754e-11,1.08717869007841e-08
"IGSF6",0.814459930313589,9.28190222404882e-11,1.0916083298846e-08
"PSTPIP1",0.814427612991032,9.31058866578904e-11,1.0916083298846e-08
"TFEC",0.81411149825784,9.59560371562468e-11,1.11803683292797e-08
"SPOCK2",0.813588850174216,1.00848410326034e-10,1.16778724031239e-08
"CD14",0.813414634146342,1.02530491250632e-10,1.17998127936847e-08
"DENND3",0.813066202090592,1.05973841952564e-10,1.21217274462692e-08
"SAMHD1",0.812891986062718,1.0773588084213e-10,1.22485902346516e-08
"LGALS2",0.812685149120705,1.09863498676259e-10,1.24152371787226e-08
"DOCK2",0.812543554006969,1.11342647389558e-10,1.25070462418007e-08
"P2RY6",0.811846689895471,1.18898255994427e-10,1.3184056529527e-08
"CD40",0.81179493957399,1.19478096381448e-10,1.3184056529527e-08
"CCR5",0.811672473867596,1.20860845866468e-10,1.32586468281232e-08
"GLIPR1",0.811498257839721,1.22853763500217e-10,1.33989171482591e-08
"SEPT1",0.811149825783972,1.26932333049219e-10,1.37637204374006e-08
"CD200R1",0.810975609756098,1.29018875042606e-10,1.39095694076106e-08
"RIPK3",0.810627177700349,1.33288743150978e-10,1.4287791615824e-08
"XCL2",0.810488262452667,1.35027716528808e-10,1.43919598543404e-08
"C16orf54",0.810278745644599,1.37690753557322e-10,1.442983712839e-08
"C1QB",0.810278745644599,1.37690753557322e-10,1.442983712839e-08
"UCP2",0.810278745644599,1.37690753557322e-10,1.442983712839e-08
"TNFSF14",0.810139815220314,1.39483662033668e-10,1.45365223116088e-08
"JAK3",0.808885017421603,1.56697802711748e-10,1.62402987904402e-08
"ARHGAP25",0.808362369337979,1.64438955132967e-10,1.68563407614171e-08
"GLRX",0.808362369337979,1.64438955132967e-10,1.68563407614171e-08
"LILRB2",0.807317073170732,1.81008096453239e-10,1.84539721813386e-08
"LAIR1",0.806968641114983,1.86870069513431e-10,1.89486250486619e-08
"C1QA",0.806742454704874,1.90770086253317e-10,1.92400862797095e-08
"DEF6",0.806445993031359,1.95997346954331e-10,1.96615734305684e-08
"CD80",0.806271777003485,1.99131429449109e-10,1.98697153459353e-08
"LAT2",0.805574912891986,2.12143288945504e-10,2.10560632662894e-08
"SOCS3",0.804529616724739,2.33162071594324e-10,2.28999335132876e-08
