"gene","spearman_rho","p_value","fdr"
"ADGRA3",0.637456445993031,7.39032957299221e-06,0.000166628837091059
"RAC3",0.636787317124784,7.60724141141445e-06,0.000171108203401347
"GRK4",0.635365853658537,8.08755880768151e-06,0.000180577847289091
"POLR2B",0.635017421602788,8.20946579770502e-06,0.000182034715010814
"LRP4",0.634261074690226,8.47991445792258e-06,0.000187588107684162
"ZNRF3",0.633275261324042,8.84468394904711e-06,0.000194967598355082
"WDR3",0.633101045296167,8.91062406779597e-06,0.000196190606675804
"MCUR1",0.632926829268293,8.97701482964013e-06,0.000197189486170046
"ALMS1",0.632229965156795,9.24714027794131e-06,0.000202648486534931
"DBT",0.632229965156795,9.24714027794131e-06,0.000202648486534931
"WDR12",0.63205574912892,9.31582636748626e-06,0.000203677840125495
"MTMR9",0.631184668989547,9.66632859400807e-06,0.000210360392221575
"WASL",0.630836236933798,9.80988407224379e-06,0.000212744063943608
"ZNF850",0.630836236933798,9.80988407224379e-06,0.000212744063943608
"RAD54B",0.630662020905923,9.88239245754368e-06,0.00021406905324603
"KANSL1L",0.629790940766551,1.0252361008025e-05,0.000221062115114414
"C1orf74",0.629616724738676,1.03278613293669e-05,0.000222434386541439
"DKC1",0.629094076655052,1.05574309981266e-05,0.000226857787049092
"THOP1",0.628571428571429,1.07916695099205e-05,0.000231361060956112
"VPS37A",0.628048780487805,1.10306625946823e-05,0.000235676764935814
"HMBOX1",0.627700348432056,1.11926757136511e-05,0.00023779009947516
"ZNF697",0.627351916376307,1.13568668318582e-05,0.000240727078981726
"FBXW9",0.627177700348432,1.14397873935784e-05,0.00024193796134852
"ZNF813",0.627177700348432,1.14397873935784e-05,0.00024193796134852
"NSUN4",0.627003484320558,1.15232623940517e-05,0.000243428918074342
"CHRNA5",0.626655052264808,1.16918891294513e-05,0.000246713327535856
"EFNB3",0.626132404181185,1.19490718596708e-05,0.000251574230096033
"BTBD3",0.625435540069686,1.23000458622648e-05,0.000258383606192862
"EIF4EBP1",0.623867595818815,1.31245287311419e-05,0.000273558927186101
"POT1",0.623519163763066,1.33144870955428e-05,0.000277210281271129
"PEX11A",0.623170731707317,1.35069601596758e-05,0.000280594757071272
"CCDC138",0.622648083623694,1.38004506091138e-05,0.000285742442578769
"MAK16",0.621951219512195,1.4200855665921e-05,0.00029338529893944
"NOP56",0.619686411149826,1.55767666715733e-05,0.000320048812696653
"TOM1L1",0.619686411149826,1.55767666715733e-05,0.000320048812696653
"RBAK",0.619529442079508,1.56765064475898e-05,0.000321268372767717
"NANP",0.619512195121951,1.5687500903845e-05,0.000321268372767717
"VEZF1",0.618292682926829,1.64830371977844e-05,0.000332868201803441
"NFKBIL1",0.617595818815331,1.69540341383969e-05,0.000341245414594621
"ABCD3",0.616724738675958,1.75600859346883e-05,0.000352686993628284
"ZNF507",0.615853658536585,1.81858935517622e-05,0.000363311157760924
"TYW3",0.615331010452962,1.85711011267183e-05,0.000370612006421392
"JADE3",0.612891986062718,2.04693288583481e-05,0.000403768811833599
