"gene","spearman_rho","p_value","fdr"
"SIRT1",-0.063588850174216,0.692860835540922,0.866029878325704
"ACBD5",-0.0635916199043902,0.692848113075309,0.866029878325704
"CARD18",-0.0636564315054473,0.692550431542424,0.866029878325704
"MKNK1",-0.0637630662020906,0.692060754638704,0.865664312613686
"NBPF14",-0.0637630662020906,0.692060754638704,0.865664312613686
"NUDT14",-0.0637630662020906,0.692060754638704,0.865664312613686
"HEATR9",-0.0638738007263569,0.691552381832369,0.865547846997158
"GPR26",-0.063932196771049,0.691284344324849,0.865270101767522
"ARMC5",-0.0639372822299652,0.691261003857069,0.865270101767522
"ZSCAN5A",-0.0639372822299652,0.691261003857069,0.865270101767522
"BBOF1",-0.0641114982578397,0.690461583968609,0.864528691340751
"OXLD1",-0.0641114982578397,0.690461583968609,0.864528691340751
"RPL21",-0.0641114982578397,0.690461583968609,0.864528691340751
"SMPDL3B",-0.0642070506157419,0.690023266505789,0.864300756247101
"LIN37",-0.0642857142857143,0.689662495744899,0.863931803517767
"CLDN24",-0.0642947195930064,0.689621199533322,0.863931803517767
"GDF7",-0.0643473476070728,0.689379877664391,0.863931803517767
"OVOL1",-0.0643596314244074,0.689323555497408,0.863931803517767
"FRG2",-0.0644280246146042,0.689009998162075,0.863691183128792
"SEPT14",-0.0644280246146042,0.689009998162075,0.863691183128792
"APOPT1",-0.0644599303135889,0.688863739956507,0.86368098501832
"IRF2BPL",-0.0644599303135889,0.688863739956507,0.86368098501832
"RNASEH1",-0.0644599303135889,0.688863739956507,0.86368098501832
"SNAPIN",-0.0644599303135889,0.688863739956507,0.86368098501832
"COPS3",-0.0646341463414634,0.688065317372981,0.86302602892483
"DACT3",-0.0646341463414634,0.688065317372981,0.86302602892483
"LMAN1",-0.0646341463414634,0.688065317372981,0.86302602892483
"CST3",-0.064808362369338,0.687267228762856,0.862197949867077
"FANCB",-0.064808362369338,0.687267228762856,0.862197949867077
"NAGA",-0.064808362369338,0.687267228762856,0.862197949867077
"SQSTM1",-0.064808362369338,0.687267228762856,0.862197949867077
"CLDN3",-0.0648343706473669,0.687148112794601,0.862197949867077
"PIPOX",-0.0648648895169088,0.687008348171232,0.862161466640631
"MCM5",-0.0649825783972126,0.686469474893643,0.861600487055389
"RUVBL1",-0.0649825783972126,0.686469474893643,0.861600487055389
"SLC2A4",-0.0649854088338015,0.686456516788704,0.861600487055389
"GYS2",-0.0650554730944659,0.686135781775539,0.861585188454872
"MAK",-0.0651037016238165,0.685915036324868,0.861365655805209
"FRG2C",-0.0651224950212719,0.68582902456373,0.861315302389437
"OR2T3",-0.0651996177237612,0.685476097984132,0.861160334990915
"DOK4",-0.0653310104529617,0.684874974442897,0.860462771788514
"H3F3A",-0.0653310104529617,0.684874974442897,0.860462771788514
"RNF135",-0.0653310104529617,0.684874974442897,0.860462771788514
"UBA6",-0.0653310104529617,0.684874974442897,0.860462771788514
"XPO6",-0.0653310104529617,0.684874974442897,0.860462771788514
"ZNF662",-0.0653423951372779,0.684822898376151,0.860462771788514
"TBX4",-0.0654431269029328,0.684362191716389,0.860452436622502
"ACADVL",-0.0655052264808362,0.684078229391275,0.860153060201818
"HNRNPA0",-0.0655052264808362,0.684078229391275,0.860153060201818
"KNL1",-0.0655052264808362,0.684078229391275,0.860153060201818
"MIOS",-0.0655052264808362,0.684078229391275,0.860153060201818
"NPIPA8",-0.0655052264808362,0.684078229391275,0.860153060201818
"SIKE1",-0.0655052264808362,0.684078229391275,0.860153060201818
"CA3",-0.0655068183920761,0.684070950633461,0.860153060201818
"BLOC1S4",-0.0656794425087108,0.683281822140381,0.859670268379035
"CYSLTR2",-0.0656794425087108,0.683281822140381,0.859670268379035
"ITGA11",-0.0656794425087108,0.683281822140381,0.859670268379035
"RPL18",-0.0656794425087108,0.683281822140381,0.859670268379035
"SOGA3",-0.0656838638471899,0.683261614934524,0.859670268379035
"TMEM40",-0.0657167680886815,0.683111236832323,0.859670268379035
"AP4E1",-0.0658536585365854,0.6824857534526,0.859244983155526
"POFUT2",-0.0658536585365854,0.6824857534526,0.859244983155526
"SLC6A12",-0.0658651342983762,0.682433327617066,0.859244983155526
"LHX9",-0.0659471761895886,0.682058570596399,0.858937750122036
"S1PR5",-0.0659542753386327,0.682026146118746,0.858937750122036
"TMEM233",-0.0660278745644599,0.681690024089285,0.858588905726527
"FAM126B",-0.0662020905923345,0.680894634810753,0.857875106079315
"KLF9",-0.0662020905923345,0.680894634810753,0.857875106079315
"PATJ",-0.0662020905923345,0.680894634810753,0.857875106079315
"PHF5A",-0.0662020905923345,0.680894634810753,0.857875106079315
"VPS51",-0.0662020905923345,0.680894634810753,0.857875106079315
"SLFNL1",-0.0662683235762137,0.68059233522193,0.857875106079315
"AKR1B15",-0.0663025213854916,0.680436269393658,0.8578161275239
"CDC123",-0.0663763066202091,0.680099586376287,0.857506932439358
"DERL2",-0.0663763066202091,0.680099586376287,0.857506932439358
"CD276",-0.0665505226480836,0.679304879544131,0.857023352973863
"DDX19B",-0.0665505226480836,0.679304879544131,0.857023352973863
"ORC1",-0.0665505226480836,0.679304879544131,0.857023352973863
"PLEKHH2",-0.0665505226480836,0.679304879544131,0.857023352973863
"MMADHC",-0.0667247386759582,0.678510515071489,0.85642435420711
"ZNF100",-0.0667247386759582,0.678510515071489,0.85642435420711
"ZNF302",-0.0667247386759582,0.678510515071489,0.85642435420711
"KRTAP5-8",-0.0667715158919585,0.678297285641803,0.85642435420711
"SNAP91",-0.0667825263544753,0.678247099107904,0.85642435420711
"CDH22",-0.0668153104781061,0.678097674676374,0.85642188643736
"CLDN6",-0.0668153104781061,0.678097674676374,0.85642188643736
"GGTLC2",-0.0668153104781061,0.678097674676374,0.85642188643736
"KRT85",-0.0668153104781061,0.678097674676374,0.85642188643736
